"x","y","character","na.x","vertex.names","xend","yend","na.y","degree"
0.369234674304815,0.61652742527894,"Michael",FALSE,1,0.369234674304815,0.61652742527894,NA,24
0.702585758546292,0.74835437728633,"Dwight",FALSE,2,0.702585758546292,0.74835437728633,NA,27
0.412856761351257,0.430106621197184,"Jim",FALSE,3,0.412856761351257,0.430106621197184,NA,28
0.520853263654799,0.258163546494831,"Pam",FALSE,4,0.520853263654799,0.258163546494831,NA,27
0.710799420360516,0.557272025176542,"Andy",FALSE,5,0.710799420360516,0.557272025176542,NA,24
0.491386046401206,0.458584251987024,"Angela",FALSE,6,0.491386046401206,0.458584251987024,NA,25
0.439673487980756,0.756627070554207,"Kevin",FALSE,7,0.439673487980756,0.756627070554207,NA,22
0.817340686157304,0.562585631366696,"Erin",FALSE,8,0.817340686157304,0.562585631366696,NA,22
0.348746557849346,0.303956045067451,"Oscar",FALSE,9,0.348746557849346,0.303956045067451,NA,21
0.326396888718058,0.789407897102825,"Ryan",FALSE,10,0.326396888718058,0.789407897102825,NA,20
0.701799096290833,0.189103916547722,"Darryl",FALSE,11,0.701799096290833,0.189103916547722,NA,23
0.429223220152494,0.156188150363158,"Phyllis",FALSE,12,0.429223220152494,0.156188150363158,NA,20
0.251049026978314,0.52325153283217,"Kelly",FALSE,13,0.251049026978314,0.52325153283217,NA,20
0.598975552897516,0.329087255506514,"Toby",FALSE,14,0.598975552897516,0.329087255506514,NA,24
0.841108210975109,0.744070542132486,"Jan",FALSE,15,0.841108210975109,0.744070542132486,NA,18
0.555750606063556,0.900618819253598,"Stanley",FALSE,16,0.555750606063556,0.900618819253598,NA,22
0.971994914346566,0.338779576873269,"Meredith",FALSE,17,0.971994914346566,0.338779576873269,NA,21
0.876299932292712,0.932651564658477,"Holly",FALSE,18,0.876299932292712,0.932651564658477,NA,15
0.970658531117522,0.526358790051708,"Nellie",FALSE,19,0.970658531117522,0.526358790051708,NA,16
0.942751400097121,0.623093816239962,"Gabe",FALSE,20,0.942751400097121,0.623093816239962,NA,18
0.832464921256442,0.366634931708521,"Robert",FALSE,21,0.832464921256442,0.366634931708521,NA,17
0.738128475400551,0.0922182244727127,"Creed",FALSE,22,0.738128475400551,0.0922182244727127,NA,21
0.384986596607239,1,"David",FALSE,23,0.384986596607239,1,NA,18
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.127436486812526,0.842090884766421,NA,9
1,0,"Clark",FALSE,25,1,0,NA,10
0.148150090263402,0.317228404541148,"Charles",FALSE,26,0.148150090263402,0.317228404541148,NA,11
0,0.214071606441509,"Roy",FALSE,27,0,0.214071606441509,NA,11
0.924548183251387,0.170402753052261,"Pete",FALSE,28,0.924548183251387,0.170402753052261,NA,14
0.67972395875009,0.983306527101554,"Jo",FALSE,29,0.67972395875009,0.983306527101554,NA,22
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.109042245968122,0.642310143720089,NA,13
0,0.214071606441509,"Roy",FALSE,27,0.390706050818928,0.418515848017066,FALSE,11
0,0.214071606441509,"Roy",FALSE,27,0.495942362301543,0.256054756849481,FALSE,11
0,0.214071606441509,"Roy",FALSE,27,0.469003901984202,0.447446944803671,FALSE,11
0,0.214071606441509,"Roy",FALSE,27,0.676814902550079,0.189992771499035,FALSE,11
0,0.214071606441509,"Roy",FALSE,27,0.404447493509382,0.159529313230456,FALSE,11
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.34435651550294,0.618992626006814,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.677975459025414,0.743957428629287,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.392361185068351,0.444422044796629,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.502572224752981,0.275216511535264,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.468852590278362,0.469412149066323,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.41604591406295,0.748457752910817,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.792497562810156,0.565381918612024,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.334294645931716,0.324355609815874,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.305692621179912,0.775395998383918,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.681938882656075,0.204288511187743,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.415471902480167,0.17706639890739,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.577912242403696,0.342553396417739,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.534108398478574,0.888104233729155,FALSE,13
0.109042245968122,0.642310143720089,"Deangelo",FALSE,30,0.65826323454173,0.970483215655102,FALSE,13
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.350953962031353,0.633580740463235,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.677911308974625,0.752375762412785,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.398619755278782,0.45065674669783,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.506884356058141,0.278896843882271,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.688334028128586,0.568240441282142,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.474176800010304,0.476718248751589,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.415560445832851,0.763227161339442,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.419155047434171,0.179071154932357,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.582057385650706,0.34749311373179,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.81634072734764,0.747472270334894,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.530980793203253,0.897234093139776,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.363673623690349,0.986932590714149,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.00497162998914639,0.238572277763965,FALSE,9
0.127436486812526,0.842090884766421,"Karen",FALSE,24,0.655503183704514,0.977113461932221,FALSE,9
0.148150090263402,0.317228404541148,"Charles",FALSE,26,0.354380826268924,0.596418641165357,FALSE,11
0.148150090263402,0.317228404541148,"Charles",FALSE,26,0.682850197695454,0.733008119178802,FALSE,11
